case,45 RPS,15 RPS
Healthy,202302281451,202302281804
W1,202304091309,202304091416
W2,202304091820,202304091915
W3,202304101127,202304101254
W4,202304101626,202304101719
W5,202304101940,202304102103
W6,202304131812,202304131959
W7,202304161204,202304161305
W8,202304161729,202304161830
W9,202304181335,202304181419
W10,202304191339,202304191435
W11,202304191942,202304192035
W12,202304201237,202304201337
W13,202304231250,202304231343
W14,202304231738,202304231828
W15,202304232122,202304232209
W16,202305011249,202305011342
W17,202305012023,202305012112
W18,202305021343,202305021442
W19,202305031417,202305031518
W20,202305071159,202305071305
W21,202305071715,202305071810
W22,202305101918,202305141010
W23,202305141739,202305141816
W24,202305231759,202305231852
W25,202305241916,202305242006
W26,202305301754,202305301847
W27,202305311947,202305312039
W28,202306040920,202306041012
W29,202306041848,202306041936
W30,202306071544,202306071634
W31,202306081233,202306081321
W32,202306091715,202306091759
W33,202306111441,202306111524
W34,202306131453,202306131547
W35,202306151044,202306151134
